,0
ST_ST1,0.0
ST_ST30,0.0
ST_ST398,0.0
ST_ST5,0.041692678
ST_ST8,0.0
Species_Klebsiella pneumoniae,0.0
Species_Pseudomonas aeruginosa,0.048631854
Species_Staphylococcus aureus,0.0
ampC_promoter_SNP,0.0
ampR,0.0
blaCTX-M-15,0.0
blaKPC-2,0.0
blaNDM-1,0.0
blaOXA-48,0.0
blaZ,0.0
collection_year_2018,0.0
collection_year_2020,0.0
collection_year_2022,0.0
fosA,0.0
gyrA_S84L_SNP,0.0
gyrA_mut_proxy,0.0
hospital_source_A,0.0
hospital_source_B,0.0
hospital_source_C,0.0
kmer_000,0.0
kmer_001,0.0
kmer_002,0.0
kmer_003,0.0
kmer_004,0.0
kmer_005,0.0
kmer_006,0.0
kmer_007,0.0023304862
kmer_008,0.0
kmer_009,0.0047939783
kmer_010,0.0
kmer_011,0.1669294
kmer_012,0.0
kmer_013,0.0
kmer_014,0.0
kmer_015,0.09092281
kmer_016,0.0
kmer_017,0.0
kmer_018,0.0
kmer_019,0.0
kmer_020,0.0
kmer_021,0.0
kmer_022,0.0022621097
kmer_023,0.040014002
kmer_024,0.010871387
kmer_025,0.0
kmer_026,0.0
kmer_027,0.0
kmer_028,0.052275904
kmer_029,0.0
kmer_030,0.0
kmer_031,0.15330023
kmer_032,0.0
kmer_033,0.0
kmer_034,0.0
kmer_035,0.0
kmer_036,0.0
kmer_037,0.0
kmer_038,0.0
kmer_039,0.0
kmer_040,0.0015572065
kmer_041,0.0023761464
kmer_042,0.0
kmer_043,0.0
kmer_044,0.0
kmer_045,0.0
kmer_046,0.0
kmer_047,0.015660774
kmer_048,0.0
kmer_049,0.0
mecA,0.0
mexB,0.0
msrA,0.0
norA,0.0
rpoB_H445Y_SNP,0.0
sul1,0.0
